Year,Quarters,Revenue
2006,Q1,5.7
2006,Q2,4.3
2006,Q3,4.3
2006,Q4,4.8
2007,Q1,7.1
2007,Q2,5.2
2007,Q3,5.4
2007,Q4,6.7
2008,Q1,9.6
2008,Q2,7.5
2008,Q3,7.4
2008,Q4,12.9
2009,Q1,11.8
2009,Q2,9
2009,Q3,9.7
2009,Q4,12.2
2010,Q1,15.6
2010,Q2,13.4
2010,Q3,15.7
2010,Q4,20.3
2011,Q1,26.7
2011,Q2,24.6
2011,Q3,28.5
2011,Q4,28.2
2012,Q1,46.3
2012,Q2,39.1
2012,Q3,35
2012,Q4,35.9
2013,Q1,54.5
2013,Q2,43.6
2013,Q3,35.3
2013,Q4,37.4
2014,Q1,57.5
2014,Q2,45.6
2014,Q3,37.4
2014,Q4,42.1
2015,Q1,74.5
2015,Q2,58
2015,Q3,49.6
2015,Q4,51.5
2016,Q1,75.8
2016,Q2,50.5
2016,Q3,42.3
2016,Q4,46.8
2017,Q1,78.3
2017,Q2,52.8
2017,Q3,45.4
2017,Q4,52.5
2018,Q1,88.2
2018,Q2,61.1
2018,Q3,53.2
2018,Q4,62.9
2019,Q1,84.3
2019,Q2,58
2019,Q3,53.8
2019,Q4,64
2020,Q1,91.8
2020,Q2,58.3
2020,Q3,59.6
2020,Q4,64.6
2021,Q1,111.4
2021,Q2,89.5
2021,Q3,81.4
2021,Q4,83.3
